Date	Open	High	Low	Close 	Adj Close 	Volume
Jul 16, 2020	148.55	151.60	145.91	149.99	149.99	127,884,000
Jul 15, 2020	154.01	154.92	148.66	150.44	150.44	115,778,000
Jul 14, 2020	154.45	156.37	147.50	154.20	154.20	144,638,000
Jul 13, 2020	162.55	167.21	153.42	155.20	155.20	154,408,000
Jul 10, 2020	159.59	160.75	156.79	160.00	160.00	109,720,000
Jul 9, 2020	155.80	159.69	153.70	159.13	159.13	127,774,000
Jul 8, 2020	151.13	154.20	150.62	154.06	154.06	100,752,000
Jul 7, 2020	152.93	153.48	149.50	150.01	150.01	105,150,000
Jul 6, 2020	146.75	152.99	146.50	152.85	152.85	137,612,000
Jul 2, 2020	145.60	147.78	143.55	144.51	144.51	131,868,000
Jul 1, 2020	137.90	144.75	137.70	143.93	143.93	127,268,000
Jun 30, 2020	134.25	138.48	133.75	137.94	137.94	75,394,000
Jun 29, 2020	134.50	134.84	131.50	134.02	134.02	84,468,000
Jun 26, 2020	138.75	139.13	134.40	134.64	134.64	130,016,000
Jun 25, 2020	136.98	137.81	135.61	137.73	137.73	59,374,000
Jun 24, 2020	139.00	139.80	136.05	136.72	136.72	90,532,000
Jun 23, 2020	136.30	139.16	135.90	138.22	138.22	84,634,000
Jun 22, 2020	134.23	135.75	133.45	135.69	135.69	64,176,000
Jun 19, 2020	133.90	134.87	132.95	133.75	133.75	115,540,000
Jun 18, 2020	132.35	132.98	131.81	132.70	132.70	49,756,000
Jun 17, 2020	132.38	132.75	131.59	132.05	132.05	59,186,000
Jun 16, 2020	131.00	131.00	128.80	130.76	130.76	71,712,000
Jun 15, 2020	126.33	129.20	125.40	128.63	128.63	77,302,000
Jun 12, 2020	130.06	131.07	125.17	127.25	127.25	108,722,000
Jun 11, 2020	130.18	133.57	126.81	127.90	127.90	116,002,000
Jun 10, 2020	132.25	136.12	131.31	132.37	132.37	98,920,000
Jun 9, 2020	126.47	131.32	126.25	130.04	130.04	103,520,000
Jun 8, 2020	125.01	126.50	124.37	126.20	126.20	79,414,000
Jun 5, 2020	122.23	124.43	121.86	124.15	124.15	66,128,000
Jun 4, 2020	123.87	125.38	122.50	123.03	123.03	58,974,000
Jun 3, 2020	123.40	124.40	123.06	123.92	123.92	53,420,000
Jun 2, 2020	123.35	123.68	122.27	123.62	123.62	50,598,000
Jun 1, 2020	122.40	123.85	122.21	123.55	123.55	58,578,000
May 29, 2020	120.80	122.12	119.91	122.12	122.12	70,198,000
May 28, 2020	119.22	121.85	118.91	120.06	120.06	63,804,000
May 27, 2020	120.25	120.68	116.50	120.52	120.52	101,138,000
May 26, 2020	122.90	123.10	120.70	121.09	121.09	71,364,000
May 22, 2020	122.75	123.49	121.51	121.84	121.84	57,342,000
May 21, 2020	125.00	126.27	122.13	122.34	122.34	102,288,000
May 20, 2020	123.89	125.00	123.36	124.90	124.90	79,962,000
May 19, 2020	121.49	124.25	121.45	122.47	122.47	86,410,000
May 18, 2020	120.22	121.65	119.20	121.31	121.31	87,144,000
May 15, 2020	118.43	120.55	117.82	120.49	120.49	84,700,000
May 14, 2020	118.05	119.57	117.66	119.44	119.44	72,962,000
May 13, 2020	118.34	120.39	116.89	118.40	118.40	95,658,000
May 12, 2020	120.59	120.95	117.75	117.85	117.85	61,498,000
May 11, 2020	118.74	120.98	118.61	120.45	120.45	65,184,000
May 8, 2020	118.61	119.36	117.85	118.98	118.98	64,132,000
May 7, 2020	118.74	118.80	117.16	118.38	118.38	67,928,000
May 6, 2020	116.47	117.87	116.00	117.56	117.56	62,356,000
May 5, 2020	117.00	117.55	115.36	115.89	115.89	64,850,000
May 4, 2020	112.82	116.35	112.82	115.80	115.80	97,318,000
May 1, 2020	116.84	118.12	112.91	114.30	114.30	195,452,000
Apr 30, 2020	120.99	123.75	119.80	123.70	123.70	190,692,000
Apr 29, 2020	116.50	119.59	115.50	118.64	118.64	91,832,000
Apr 28, 2020	118.61	118.68	115.30	115.70	115.70	105,388,000
Apr 27, 2020	122.16	122.24	118.15	118.80	118.80	112,912,000
Apr 24, 2020	120.85	121.02	119.10	120.51	120.51	76,498,000
Apr 23, 2020	120.00	121.21	119.10	119.97	119.97	101,332,000
Apr 22, 2020	118.45	119.70	117.55	118.17	118.17	84,244,000
Apr 21, 2020	120.83	121.42	113.98	116.41	116.41	149,534,000
Apr 20, 2020	119.50	122.25	119.30	119.68	119.68	115,414,000
Apr 17, 2020	118.62	120.00	115.80	118.75	118.75	158,600,000
Apr 16, 2020	117.30	123.05	116.75	120.41	120.41	240,764,000
Apr 15, 2020	112.88	116.67	112.25	115.38	115.38	137,332,000
Apr 14, 2020	110.02	114.60	109.31	114.17	114.17	161,744,000
Apr 13, 2020	102.00	109.00	101.90	108.44	108.44	134,334,000
Apr 9, 2020	102.21	102.65	100.88	102.14	102.14	92,930,000
