Date	Open	High	Low	Close 	Adj Close 	Volume
Jul 16, 2020	96.56	97.40	95.90	96.52	93.95	110,577,600
Jul 15, 2020	98.99	99.25	96.49	97.72	95.12	153,198,000
Jul 14, 2020	94.84	97.25	93.88	97.06	94.47	170,989,200
Jul 13, 2020	97.26	99.96	95.26	95.48	92.93	191,649,200
Jul 10, 2020	95.33	95.98	94.71	95.92	93.36	90,257,200
Jul 9, 2020	96.26	96.32	94.67	95.75	93.20	125,642,800
Jul 8, 2020	94.18	95.38	94.09	95.34	92.80	117,092,000
Jul 7, 2020	93.85	94.65	93.06	93.17	90.69	112,424,400
Jul 6, 2020	92.50	93.94	92.47	93.46	90.97	118,655,600
Jul 2, 2020	91.96	92.62	90.91	91.03	88.60	114,041,600
Jul 1, 2020	91.28	91.84	90.98	91.03	88.60	110,737,200
Jun 30, 2020	90.02	91.50	90.00	91.20	88.77	140,223,200
Jun 29, 2020	88.31	90.54	87.82	90.44	88.03	130,646,000
Jun 26, 2020	91.10	91.33	88.25	88.41	86.05	205,256,800
Jun 25, 2020	90.18	91.25	89.39	91.21	88.78	137,522,400
Jun 24, 2020	91.25	92.20	89.63	90.01	87.62	192,623,200
Jun 23, 2020	91.00	93.10	90.57	91.63	89.19	212,155,600
Jun 22, 2020	87.83	89.86	87.79	89.72	87.33	135,445,200
Jun 19, 2020	88.66	89.14	86.29	87.43	85.10	264,476,000
Jun 18, 2020	87.85	88.36	87.31	87.93	85.59	96,820,400
Jun 17, 2020	88.79	88.85	87.77	87.90	85.55	114,406,400
Jun 16, 2020	87.86	88.30	86.18	88.02	85.67	165,428,800
Jun 15, 2020	83.31	86.42	83.14	85.75	83.46	138,808,800
Jun 12, 2020	86.18	86.95	83.56	84.70	82.44	200,146,000
Jun 11, 2020	87.33	87.76	83.87	83.97	81.74	201,662,400
Jun 10, 2020	86.97	88.69	86.52	88.21	85.86	166,651,600
Jun 9, 2020	83.04	86.40	83.00	86.00	83.71	147,712,400
Jun 8, 2020	82.56	83.40	81.83	83.36	81.14	95,654,400
Jun 5, 2020	80.84	82.94	80.81	82.88	80.67	137,250,400
Jun 4, 2020	81.10	81.40	80.19	80.58	78.43	87,560,400
Jun 3, 2020	81.17	81.55	80.57	81.28	79.11	104,491,200
Jun 2, 2020	80.19	80.86	79.73	80.83	78.68	87,642,800
Jun 1, 2020	79.44	80.59	79.30	80.46	78.32	80,791,200
May 29, 2020	79.81	80.29	79.12	79.49	77.37	153,532,400
May 28, 2020	79.19	80.86	78.91	79.56	77.44	133,560,800
May 27, 2020	79.04	79.68	78.27	79.53	77.41	112,945,200
May 26, 2020	80.88	81.06	79.13	79.18	77.07	125,522,000
May 22, 2020	78.94	79.81	78.84	79.72	77.60	81,803,200
May 21, 2020	79.67	80.22	78.97	79.21	77.10	102,688,800
May 20, 2020	79.17	79.88	79.13	79.81	77.68	111,504,800
May 19, 2020	78.76	79.63	78.25	78.29	76.20	101,729,600
May 18, 2020	78.29	79.13	77.58	78.74	76.64	135,178,400
May 15, 2020	75.09	76.97	75.05	76.93	74.88	166,348,400
May 14, 2020	76.13	77.45	75.38	77.39	75.32	158,929,200
May 13, 2020	78.04	78.99	75.80	76.91	74.86	200,622,400
May 12, 2020	79.46	79.92	77.73	77.85	75.78	162,301,200
May 11, 2020	77.03	79.26	76.81	78.75	76.65	145,946,400
May 8, 2020	0.205 Dividend
May 8, 2020	76.41	77.59	76.07	77.53	75.47	133,838,400
May 7, 2020	75.81	76.29	75.49	75.93	73.71	115,215,200
May 6, 2020	75.11	75.81	74.72	75.16	72.96	142,333,600
May 5, 2020	73.76	75.25	73.61	74.39	72.21	147,751,200
May 4, 2020	72.29	73.42	71.58	73.29	71.14	133,568,000
May 1, 2020	71.56	74.75	71.46	72.27	70.15	240,616,800
Apr 30, 2020	72.49	73.63	72.09	73.45	71.30	183,064,000
Apr 29, 2020	71.18	72.42	70.97	71.93	69.83	137,280,800
Apr 28, 2020	71.27	71.46	69.55	69.64	67.61	112,004,800
Apr 27, 2020	70.45	71.14	69.99	70.79	68.72	117,087,600
Apr 24, 2020	69.30	70.75	69.25	70.74	68.67	126,161,200
Apr 23, 2020	68.97	70.44	68.72	68.76	66.74	124,814,400
Apr 22, 2020	68.40	69.47	68.05	69.03	67.00	116,862,400
Apr 21, 2020	69.07	69.31	66.36	67.09	65.13	180,991,600
Apr 20, 2020	69.49	70.42	69.21	69.23	67.21	130,015,200
Apr 17, 2020	71.17	71.74	69.21	70.70	68.63	215,250,000
Apr 16, 2020	71.85	72.05	70.59	71.67	69.57	157,125,200
Apr 15, 2020	70.60	71.58	70.16	71.11	69.03	131,154,400
Apr 14, 2020	70.00	72.06	69.51	71.76	69.66	194,994,800
Apr 13, 2020	67.08	68.43	66.46	68.31	66.31	131,022,800
Apr 9, 2020	67.18	67.52	66.18	67.00	65.04	161,834,800
